,satisfaction_level,number_project,average_montly_hours,time_spend_company,Work_accident,left,salary
412,0.45,2,138,3,0,1,2
413,0.45,2,142,3,0,1,2
414,0.91,5,233,5,0,1,2
415,0.42,2,155,3,0,1,2
416,0.82,4,229,6,0,1,2
417,0.11,6,264,4,0,1,2
418,0.42,3,199,4,0,1,2
419,0.82,4,223,5,0,1,2
420,0.09,6,268,4,0,1,2
421,0.1,6,287,4,0,1,2
422,0.86,5,257,5,0,1,2
423,0.4,2,143,3,0,1,0
424,0.45,2,130,3,0,1,1
425,0.42,2,136,3,0,1,2
426,0.74,4,261,5,0,1,2
427,0.55,3,180,4,0,1,2
428,0.37,2,126,3,0,1,2
429,0.41,2,127,3,1,1,1
430,0.89,5,195,6,0,1,1
431,0.41,2,160,3,0,1,1
432,0.44,2,150,3,0,1,1
433,0.87,4,264,6,0,1,1
434,0.1,6,309,4,0,1,1
435,0.41,2,135,3,0,1,1
436,0.11,6,261,4,0,1,1
437,0.43,2,160,3,0,1,1
438,0.77,4,237,5,0,1,1
439,0.41,2,136,3,0,1,1
440,0.41,2,139,3,0,1,1
441,0.36,2,151,4,0,1,1
442,0.77,5,229,5,0,1,1
443,0.81,5,245,5,0,1,1
444,0.39,2,127,3,0,1,1
445,0.09,6,283,5,0,1,1
446,0.44,2,143,3,0,1,1
447,0.1,5,298,4,0,1,1
448,0.36,2,159,3,0,1,1
449,0.81,5,239,5,0,1,1
450,0.81,4,226,5,0,1,2
451,0.85,5,248,5,0,1,2
452,0.1,6,286,4,0,1,2
453,0.37,2,145,3,0,1,2
454,0.09,7,254,4,1,1,2
455,0.44,2,127,3,0,1,2
456,0.86,5,223,5,0,1,2
457,0.77,4,255,5,0,1,2
458,0.41,2,136,3,0,1,2
459,0.4,2,137,3,0,1,2
460,0.43,2,135,3,0,1,2
461,0.43,2,137,3,0,1,2
462,0.8,3,255,5,0,1,0
463,0.8,4,273,5,0,1,1
464,0.82,5,234,5,0,1,2
465,0.37,2,152,3,0,1,2
466,0.37,2,134,3,0,1,2
467,0.09,6,292,4,0,1,2
468,0.9,5,245,5,0,1,1
469,0.41,2,159,3,0,1,1
470,0.1,6,260,4,0,1,1
471,0.44,2,149,3,0,1,1
472,0.89,5,266,5,0,1,1
473,0.42,2,149,3,0,1,1
474,0.87,5,242,5,0,1,1
475,0.45,2,134,3,0,1,1
476,0.11,5,271,4,0,1,1
477,0.09,6,275,4,0,1,1
478,0.76,5,227,5,0,1,1
479,0.11,7,277,5,0,1,1
480,0.37,2,151,3,0,1,1
481,0.1,6,274,4,0,1,1
482,0.77,4,242,6,0,1,1
483,0.42,2,143,3,1,1,1
484,0.38,2,145,3,0,1,1
485,0.32,5,172,2,0,1,1
486,0.38,2,135,3,0,1,1
487,0.19,4,192,4,0,1,1
488,0.1,7,276,4,0,1,1
489,0.76,4,206,4,0,1,2
490,0.53,4,281,6,0,1,2
491,0.39,2,151,3,0,1,2
492,0.11,6,244,4,0,1,2
493,0.1,6,309,4,0,1,2
494,0.84,5,218,5,0,1,2
495,0.82,4,263,6,0,1,2
496,0.1,6,244,4,0,1,2
497,0.59,7,263,4,0,1,2
498,0.44,2,143,3,0,1,2
499,0.89,2,181,5,0,1,2
500,0.91,5,265,5,0,1,2
501,0.66,5,161,5,0,1,0
502,0.11,7,282,5,0,1,1
503,0.43,2,155,3,0,1,2
504,0.78,4,217,6,0,1,2
505,0.11,6,289,5,0,1,2
506,0.83,4,259,5,0,1,2
507,0.39,2,158,3,0,1,1
508,0.38,2,158,3,0,1,1
509,0.37,2,155,3,0,1,1
510,0.44,2,146,3,0,1,1
511,0.53,2,164,5,0,1,1
512,0.09,6,259,4,0,1,1
513,0.11,6,293,4,0,1,1
514,0.83,5,275,5,0,1,1
515,0.88,5,219,6,1,1,1
516,0.1,6,247,4,0,1,1
517,0.09,7,309,4,0,1,1
518,0.44,2,151,3,0,1,1
519,0.39,2,129,3,0,1,1
520,0.87,4,274,5,0,1,1
521,0.74,4,233,5,0,1,1
522,0.1,7,289,4,0,1,1
523,0.74,4,239,6,0,1,1
524,0.75,5,221,5,0,1,1
525,0.41,2,150,3,0,1,1
526,0.41,2,144,3,1,1,1
527,0.09,7,289,4,0,1,1
528,0.09,6,301,5,0,1,2
529,0.39,2,145,3,0,1,2
530,0.4,2,137,3,0,1,2
531,0.37,2,131,3,1,1,2
532,0.1,6,246,4,0,1,2
533,0.43,2,136,3,0,1,2
534,0.75,5,240,6,1,1,2
535,0.37,2,156,3,0,1,2
536,0.11,6,305,4,0,1,2
537,0.45,2,154,3,1,1,2
538,0.87,5,261,5,1,1,2
539,0.11,7,244,4,0,1,2
540,0.45,2,129,3,0,1,0
541,0.81,4,254,5,0,1,1
542,0.77,5,236,5,0,1,2
543,0.89,5,237,5,0,1,2
544,0.43,2,135,3,0,1,2
545,0.78,5,236,5,0,1,2
546,0.37,2,149,3,0,1,1
547,0.37,2,141,3,0,1,1
548,0.85,4,270,5,0,1,1
549,0.41,2,138,3,0,1,1
550,0.11,6,298,4,0,1,1
551,0.75,5,254,5,0,1,1
552,0.82,5,248,5,0,1,1
553,0.79,5,257,6,0,1,1
554,0.43,2,150,3,0,1,1
555,0.1,7,281,4,0,1,1
556,0.46,2,141,3,1,1,1
557,0.43,2,157,3,0,1,1
558,0.43,2,136,3,0,1,1
559,0.11,7,296,4,0,1,1
560,0.09,6,279,4,0,1,1
561,0.37,2,131,3,0,1,1
562,0.4,2,160,3,0,1,1
563,0.1,7,291,4,0,1,1
564,0.41,2,157,3,0,1,1
565,0.79,3,294,4,0,1,1
566,0.11,7,310,4,0,1,1
567,0.1,6,282,4,0,1,2
568,0.44,2,134,3,0,1,2
569,0.25,4,214,4,0,1,2
570,0.44,2,137,3,0,1,2
571,0.73,4,252,5,0,1,2
572,0.75,5,243,6,0,1,2
573,0.36,2,148,3,0,1,2
574,0.37,2,151,3,0,1,2
575,0.39,2,129,3,0,1,2
576,0.48,2,198,2,0,1,2
577,0.57,4,275,6,0,1,2
578,0.9,5,243,5,0,1,2
579,0.39,2,159,3,0,1,0
580,0.44,2,145,3,0,1,1
581,0.81,5,242,5,0,1,2
582,0.74,5,242,5,0,1,2
583,0.44,2,145,3,0,1,2
584,0.41,2,154,3,0,1,2
585,0.4,2,139,3,0,1,1
586,0.46,2,152,3,0,1,1
587,0.8,2,211,3,0,1,1
588,0.87,5,258,5,0,1,1
589,0.39,2,155,3,0,1,1
590,0.38,2,148,3,0,1,1
591,0.66,2,255,3,0,1,1
592,0.1,6,264,4,0,1,1
593,0.37,2,132,3,0,1,1
594,0.1,6,255,4,0,1,1
595,0.09,5,263,4,0,1,1
596,0.86,5,222,5,0,1,1
597,0.11,6,263,4,0,1,1
598,0.37,2,157,3,0,1,1
599,0.11,7,307,4,0,1,1
600,0.77,5,259,6,0,1,1
601,0.84,5,222,6,0,1,1
602,0.1,7,250,4,0,1,1
603,0.83,5,245,5,0,1,1
604,0.11,6,292,4,0,1,1
605,0.86,5,252,5,0,1,1
606,0.38,2,161,3,0,1,2
607,0.11,5,250,4,0,1,2
608,0.45,2,134,3,0,1,2
609,0.1,7,279,4,0,1,2
610,0.09,7,256,4,0,1,2
611,0.39,2,127,3,0,1,2
612,0.37,2,138,3,1,1,2
613,0.81,5,243,5,0,1,2
614,0.09,7,296,4,0,1,2
615,0.1,7,267,4,0,1,2
616,0.39,2,144,3,0,1,2
617,0.83,4,251,5,0,1,2
618,0.45,2,148,3,0,1,0
619,0.43,2,141,3,0,1,1
620,0.8,3,268,2,0,1,2
621,0.1,6,247,4,0,1,2
622,0.1,2,247,4,0,1,2
623,0.36,2,146,3,0,1,2
624,0.38,2,140,3,0,1,1
625,0.78,5,263,6,0,1,1
626,0.44,2,145,3,0,1,1
627,0.41,2,156,3,1,1,1
628,0.72,5,244,6,0,1,1
629,0.46,2,144,3,0,1,1
630,0.1,7,286,4,0,1,1
631,0.34,4,141,2,0,1,1
632,0.11,6,260,5,0,1,1
633,0.38,2,154,3,0,1,1
634,0.82,5,225,5,0,1,1
635,0.39,2,127,3,0,1,1
636,0.44,2,140,3,0,1,1
637,0.43,2,147,3,0,1,1
638,0.84,4,227,5,0,1,1
639,0.43,2,153,3,0,1,1
640,0.37,2,128,3,0,1,1
641,0.74,4,228,5,0,1,1
642,0.73,5,235,5,0,1,1
643,0.37,2,148,3,0,1,1
644,0.58,4,238,3,0,1,1
645,0.4,2,141,3,0,1,2
646,0.51,5,249,4,0,1,2
647,0.46,2,151,3,0,1,2
648,0.45,2,129,3,0,1,2
649,0.46,2,156,3,0,1,2
650,0.39,2,134,3,0,1,2
651,0.09,6,269,4,0,1,2
652,0.09,6,290,4,0,1,2
653,0.37,2,132,3,0,1,2
654,0.1,7,308,4,0,1,2
655,0.77,4,232,5,0,1,2
656,0.79,5,235,5,0,1,2
657,0.43,2,130,3,0,1,0
658,0.38,2,146,3,0,1,1
659,0.77,5,221,6,0,1,2
660,0.44,2,130,3,0,1,2
661,0.39,2,136,3,0,1,2
662,0.78,5,274,6,0,1,2
663,0.1,6,256,5,0,1,1
664,0.1,5,276,4,0,1,1
665,0.75,5,267,5,0,1,1
666,0.46,6,213,3,0,1,1
667,0.91,4,274,6,0,1,1
668,0.1,6,258,4,0,1,1
669,0.72,3,153,5,0,1,1
670,0.11,6,245,4,0,1,1
671,0.11,6,264,4,0,1,1
672,0.46,2,154,3,0,1,1
673,0.37,2,149,3,0,1,1
674,0.46,2,157,3,0,1,1
675,0.43,2,127,3,0,1,1
676,0.11,6,270,4,0,1,1
677,0.73,5,236,6,0,1,1
678,0.43,2,158,3,0,1,1
679,0.86,5,229,5,0,1,1
680,0.1,6,269,4,0,1,1
681,0.4,2,128,3,0,1,1
682,0.11,7,278,4,0,1,1
683,0.86,3,158,5,0,1,1
684,0.42,3,202,3,0,1,2
685,0.79,4,240,5,0,1,2
686,0.1,7,255,4,0,1,2
687,0.09,7,254,4,0,1,2
688,0.09,6,257,4,0,1,2
689,0.87,4,228,5,0,1,2
690,0.36,2,145,3,0,1,2
691,0.42,3,218,4,0,1,2
692,0.84,5,268,5,0,1,2
693,0.1,6,278,4,0,1,2
694,0.78,3,249,5,0,1,2
695,0.35,3,236,4,0,1,2
696,0.1,7,291,4,0,1,0
697,0.11,6,306,4,0,1,1
698,0.43,2,135,3,0,1,2
699,0.38,2,156,3,0,1,2
700,0.46,2,143,3,0,1,2
701,0.89,4,243,5,0,1,2
702,0.45,2,147,3,0,1,1
703,0.44,2,159,3,0,1,1
704,0.74,5,216,3,0,1,1
705,0.45,2,152,3,0,1,1
706,0.79,4,226,5,0,1,1
707,0.79,5,271,5,0,1,1
708,0.11,6,255,4,0,1,1
709,0.42,2,140,3,0,1,1
710,0.64,6,252,2,0,1,1
711,0.4,2,159,3,0,1,1
712,0.84,5,270,5,0,1,1
713,0.73,5,232,5,0,1,1
714,0.4,2,144,3,0,1,1
715,0.36,2,127,3,0,1,1
716,0.43,2,131,3,0,1,1
717,0.11,6,243,4,0,1,1
718,0.91,5,244,6,0,1,1
719,0.8,5,260,5,0,1,1
720,0.42,2,139,3,0,1,1
721,0.31,4,184,3,0,1,1
722,0.44,2,130,3,0,1,1
723,0.38,2,135,3,0,1,2
724,0.45,2,146,3,0,1,2
725,0.43,2,149,3,0,1,2
726,0.45,2,153,3,1,1,2
727,0.43,2,160,3,0,1,2
728,0.43,2,160,3,0,1,2
729,0.09,6,282,4,0,1,2
730,0.43,2,128,3,0,1,2
731,0.79,4,232,5,0,1,2
732,0.85,3,226,2,0,1,2
733,0.38,2,129,3,0,1,2
734,0.11,7,255,4,0,1,2
735,0.83,5,258,5,0,1,0
736,0.81,4,229,5,0,1,1
737,0.42,2,143,3,0,1,2
738,0.11,6,257,4,0,1,2
739,0.11,7,275,4,0,1,2
740,0.1,7,291,4,0,1,2
741,0.5,5,153,4,0,1,1
742,0.44,2,154,3,0,1,1
743,0.11,6,301,4,0,1,1
744,0.39,2,134,3,0,1,1
745,0.11,6,245,4,0,1,1
746,0.36,2,132,3,0,1,1
747,0.43,2,130,3,0,1,1
748,0.4,2,127,3,0,1,1
749,0.86,4,246,6,0,1,1
750,0.38,2,145,3,0,1,1
751,0.46,2,138,3,0,1,1
752,0.37,2,129,3,0,1,1
753,0.43,2,150,3,0,1,1
754,0.66,5,253,5,0,1,1
755,0.37,2,160,3,0,1,1
756,0.77,5,235,5,0,1,1
757,0.38,2,151,3,0,1,1
758,0.39,2,127,3,0,1,1
759,0.41,2,151,3,0,1,1
760,0.1,7,290,4,0,1,1
761,0.09,6,249,4,0,1,1
762,0.41,2,131,3,0,1,2
763,0.39,2,159,3,0,1,2
764,0.83,4,223,5,0,1,2
765,0.09,3,214,2,0,1,2
766,0.75,5,227,5,0,1,2
767,0.44,2,127,3,0,1,2
768,0.1,6,293,5,0,1,2
769,0.42,2,141,3,0,1,2
770,0.1,6,300,4,0,1,2
771,0.1,6,309,4,0,1,2
772,0.31,4,149,3,0,1,2
